key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
1,SavileRow (GT),./experiments/mbssp-control/lps/1/001.lp,Sat,5.7275944,0.10697017,45394,2797667,8371058
1,SavileRow (GT),./experiments/mbkp-control/lps/1/1_00.lp,Unknown,133.7608,,554139,108858456,326369662
2,SavileRow (SWC),./experiments/mbkp-control/lps/1/1_00.lp,Unknown,13.73797,,1808010,18196020,50251060
2,SavileRow (SWC),./experiments/mbssp-control/lps/1/001.lp,Sat,3.2098475,54.75313,575407,1123872,2780398
3,SavileRow (BDD),./experiments/mbssp-control/lps/1/001.lp,Unknown,2.355957,,147089,283210,702540
3,SavileRow (BDD),./experiments/mbkp-control/lps/1/1_00.lp,Unknown,8.179087,,570086,5584844,15300074
4,SavileRow (GPW),./experiments/mbkp-control/lps/1/1_00.lp,Unsat,3.0545409,11.735484,83216,288603,727336
4,SavileRow (GPW),./experiments/mbssp-control/lps/1/001.lp,Sat,1.6398065,4.9885845,18336,84236,234352
6,SavileRow (GMTO),./experiments/mbkp-control/lps/1/1_00.lp,Unsat,4.08605,1.6003247,49635,179137,483994
6,SavileRow (GMTO),./experiments/mbssp-control/lps/1/001.lp,Sat,1.6855149,7.7022886,17518,38256,111304
7,Fun-sCOP (),./experiments/mbssp-control/lps/1/001.lp,Unknown,4.288991,,150657,426713,1255069
7,Fun-sCOP (),./experiments/mbkp-control/lps/1/1_00.lp,Unsat,12.345813,15.934329,1172227,3297688,9566893
10,Picat-SAT,./experiments/mbkp-control/lps/1/1_00.lp,Unsat,1.1562222,20.743628,26703,208925,943531
10,Picat-SAT,./experiments/mbssp-control/lps/1/001.lp,Sat,1.0021813,11.174255,4737,28117,106420
11,SavileRow (GT),./experiments/mbkp-control/lps/1/2_00.lp,Unknown,104.445984,,552419,107604417,322607819
11,SavileRow (GT),./experiments/mbssp-control/lps/1/002.lp,Sat,5.930014,0.16174923,47887,3477437,10410118
12,SavileRow (SWC),./experiments/mbssp-control/lps/1/002.lp,Unknown,2.8785682,,599626,1171068,2897126
12,SavileRow (SWC),./experiments/mbkp-control/lps/1/2_00.lp,Unknown,15.284819,,1796940,18084150,49932000
13,SavileRow (BDD),./experiments/mbkp-control/lps/1/2_00.lp,Unknown,7.901841,,554198,5392288,14731164
